Word: 是, Count: 10883, Percentage: 1.73%
Word: 回, Count: 209, Percentage: 0.03%
Word: 生, Count: 205, Percentage: 0.03%
Word: 休息, Count: 204, Percentage: 0.03%
Word: 记得, Count: 200, Percentage: 0.03%
Word: 试试, Count: 197, Percentage: 0.03%
Word: 干, Count: 195, Percentage: 0.03%
Word: 看着, Count: 195, Percentage: 0.03%
Word: 保持, Count: 193, Percentage: 0.03%
Word: 放入, Count: 193, Percentage: 0.03%
Word: 陪, Count: 192, Percentage: 0.03%
Word: 微笑, Count: 192, Percentage: 0.03%
Word: 遇见, Count: 191, Percentage: 0.03%
Word: 讲, Count: 190, Percentage: 0.03%
Word: 不到, Count: 190, Percentage: 0.03%
Word: 能够, Count: 186, Percentage: 0.03%
Word: 出门, Count: 185, Percentage: 0.03%
Word: 躺, Count: 185, Percentage: 0.03%
Word: 抹, Count: 185, Percentage: 0.03%
Word: 不了, Count: 181, Percentage: 0.03%
Word: 祝, Count: 180, Percentage: 0.03%
Word: 忙, Count: 178, Percentage: 0.03%
Word: 成长, Count: 175, Percentage: 0.03%
Word: 死, Count: 175, Percentage: 0.03%
Word: 坐, Count: 174, Percentage: 0.03%
Word: 找到, Count: 174, Percentage: 0.03%
Word: 出现, Count: 172, Percentage: 0.03%
Word: 配, Count: 171, Percentage: 0.03%
Word: 告诉, Count: 170, Percentage: 0.03%
Word: 感, Count: 170, Percentage: 0.03%
Word: 来自, Count: 168, Percentage: 0.03%
Word: 变得, Count: 167, Percentage: 0.03%
Word: 考研, Count: 164, Percentage: 0.03%
Word: 帮, Count: 163, Percentage: 0.03%
Word: 萌, Count: 163, Percentage: 0.03%
Word: 懂得, Count: 162, Percentage: 0.03%
Word: 出去, Count: 161, Percentage: 0.03%
Word: 收到, Count: 161, Percentage: 0.03%
Word: 喂, Count: 161, Percentage: 0.03%
Word: 得到, Count: 159, Percentage: 0.03%
Word: 逛, Count: 159, Percentage: 0.03%
Word: 烧烤, Count: 159, Percentage: 0.03%
Word: 欢迎, Count: 157, Percentage: 0.02%
Word: 做好, Count: 155, Percentage: 0.02%
Word: 靠, Count: 155, Percentage: 0.02%
Word: 放弃, Count: 154, Percentage: 0.02%
Word: 属于, Count: 154, Percentage: 0.02%
Word: 住, Count: 154, Percentage: 0.02%
Word: 安排, Count: 153, Percentage: 0.02%
Word: 运动, Count: 153, Percentage: 0.02%
Word: 变成, Count: 152, Percentage: 0.02%
Word: 接受, Count: 152, Percentage: 0.02%
Word: 卖, Count: 149, Percentage: 0.02%
Word: 进, Count: 148, Percentage: 0.02%
Word: 烤, Count: 148, Percentage: 0.02%
Word: 辜负, Count: 147, Percentage: 0.02%
Word: 抱, Count: 147, Percentage: 0.02%
Word: 饿, Count: 147, Percentage: 0.02%
Word: 满足, Count: 146, Percentage: 0.02%
Word: 倒入, Count: 146, Percentage: 0.02%
Word: 完成, Count: 145, Percentage: 0.02%
Word: 怕, Count: 144, Percentage: 0.02%
Word: 看见, Count: 144, Percentage: 0.02%
Word: 不够, Count: 143, Percentage: 0.02%
Word: 活动, Count: 143, Percentage: 0.02%
Word: 改变, Count: 141, Percentage: 0.02%
Word: 放假, Count: 138, Percentage: 0.02%
Word: 吹, Count: 137, Percentage: 0.02%
Word: 换, Count: 137, Percentage: 0.02%
Word: 贴, Count: 133, Percentage: 0.02%
Word: 愿意, Count: 132, Percentage: 0.02%
Word: 带来, Count: 132, Percentage: 0.02%
Word: 面对, Count: 132, Percentage: 0.02%
Word: 请问, Count: 131, Percentage: 0.02%
Word: 拉, Count: 129, Percentage: 0.02%
Word: 不可, Count: 129, Percentage: 0.02%
Word: 付出, Count: 128, Percentage: 0.02%
Word: 哭, Count: 128, Percentage: 0.02%
Word: 失去, Count: 127, Percentage: 0.02%
