word,information_gain,percentage_suicide,percentage_non_suicide
该死,0.0012854393470629333,95.10%,4.90%
自责,0.0005989361474757482,94.29%,5.71%
厌恶,0.0010093267994701893,95.45%,4.55%
可笑,0.0010949360717611434,95.08%,4.92%
死,0.04187811050916346,92.72%,7.28%
哭,0.02199480356062722,93.51%,6.49%
自救,0.0007839426624784984,95.35%,4.65%
厌食,0.0004620395495980034,95.92%,4.08%
厌学,0.0005123896658246752,94.83%,5.17%
吐出来,0.0001900393994349603,95.24%,4.76%
侮辱,0.00015736234662522275,88.46%,11.54%
虚无,0.00029602253560290226,96.67%,3.33%
讨厌,0.009520020071949409,94.49%,5.51%
活着,0.015704919749029544,94.67%,5.33%
嘲讽,0.00039179962166246973,95.35%,4.65%
能撑,0.0005008443918311789,94.74%,5.26%
好受,0.0005078629998187534,93.55%,6.45%
玩笑,0.0007843277700221307,90.43%,9.57%
反感,0.0001900393994349603,95.24%,4.76%
到头,0.0004486878526632765,86.05%,13.95%
溺水,0.0001900393994349603,95.24%,4.76%
加量,0.0001900393994349603,95.24%,4.76%
衰退,0.000201684724976392,95.45%,4.55%
歧视,0.00014343204286548783,90.48%,9.52%
完药,0.0003079277293980276,96.77%,3.23%
惧怕,0.00016688292196886945,94.74%,5.26%
自虐,0.0001900393994349603,95.24%,4.76%
吓醒,0.00016688292196886945,94.74%,5.26%
想不开,0.0007373941949998519,95.12%,4.88%
孤立,0.0007889790501872662,94.51%,5.49%
痛哭,0.00039179962166246973,95.35%,4.65%
聊着,8.7938745200411e-05,91.67%,8.33%
没用,0.0026031345560936225,91.95%,8.05%
好转,0.0009175251420083796,93.69%,6.31%
拖累,0.0004973841558456593,96.15%,3.85%
不想,0.02602172521047197,92.28%,7.72%
求救,0.0003414372192980242,93.02%,6.98%
主持,0.00012170618559548263,80.00%,20.00%
受罪,0.00016688292196886945,94.74%,5.26%
背负,0.00016688292196886945,94.74%,5.26%
晓得,0.0001327799627189874,90.00%,10.00%
陪同,0.00015538158883587894,94.44%,5.56%
看病,0.0011529389662601197,94.12%,5.88%
哭泣,0.0006944039508988142,93.10%,6.90%
离去,0.0003409678888209866,91.49%,8.51%
过得,0.001160988837478949,77.42%,22.58%
争吵,0.00029935961657168164,94.29%,5.71%
说成,0.00014393951149838102,94.12%,5.88%
梦到,0.0008040838688659901,91.15%,8.85%
说教,0.0001327799627189874,90.00%,10.00%
折磨,0.0029443964547744006,94.64%,5.36%
不住,0.006219468513073867,85.23%,14.77%
疼,0.007149957943626717,89.34%,10.66%
窒息,0.0015823217594230776,93.72%,6.28%
考不上,0.0004205652696295248,94.00%,6.00%
挨骂,0.0002765333247310986,93.94%,6.06%
大哭,0.0012231550225981769,95.49%,4.51%
没好,0.000503398737658256,88.89%,11.11%
重开,0.00015538158883587894,94.44%,5.56%
监视,0.00010147518504255437,88.24%,11.76%
心结,0.0001784372880713203,95.00%,5.00%
不配,0.0011335164881481896,89.66%,10.34%
辞职,0.0008701360404856917,92.79%,7.21%
来生,6.527552585589014e-05,69.57%,30.43%
欺凌,9.893656110326887e-05,92.31%,7.69%
逃避,0.0017237816123177874,93.40%,6.60%
害怕,0.007800543293169038,91.97%,8.03%
煎熬,0.0010200787652687726,94.17%,5.83%
讽刺,0.00024256647028297884,93.33%,6.67%
复读,0.00025384923830307216,93.55%,6.45%
猝死,0.0005123896658246752,94.83%,5.17%
分手,0.0008692812372066427,92.17%,7.83%
惩罚,0.0005060363295109616,92.42%,7.58%
划,2.326708629851737e-05,46.63%,53.37%
没哭,0.00021336935240634514,95.65%,4.35%
减量,0.00011005057599799972,92.86%,7.14%
压迫,7.812158337083819e-05,80.95%,19.05%
评估,0.00011005057599799972,92.86%,7.14%
无能,0.0010844939145709942,93.85%,6.15%
吵架,0.0015973317076044546,91.71%,8.29%
反抗,0.0003801602400158588,95.24%,4.76%
上网,0.00023128969279495593,90.91%,9.09%
陪陪,0.00020899017133602094,92.59%,7.41%
疏导,0.00019790041146261483,92.31%,7.69%
加重,0.0007370650110601895,91.92%,8.08%
安定,0.00035635222121133125,89.29%,10.71%
干预,8.129310805571333e-05,86.67%,13.33%
失忆,0.00023132689088656289,93.10%,6.90%
起不来,0.00019790041146261483,92.31%,7.69%
熬过来,0.00020899017133602094,92.59%,7.41%
遭到,9.893656110326887e-05,92.31%,7.69%
偏激,0.00011005057599799972,92.86%,7.14%
看不下去,0.00011005057599799972,92.86%,7.14%
吐露,0.00011005057599799972,92.86%,7.14%
瞒,0.00025384923830307216,93.55%,6.45%
逼,0.0031879753797033894,90.79%,9.21%
反驳,0.00035189033497262656,91.67%,8.33%
发脾气,0.0007202054024468829,94.12%,5.88%
宣泄,0.0003108209244491178,94.44%,5.56%
要生,0.0003809518697530656,84.81%,15.19%
骂,0.004353696233849846,88.58%,11.42%
绝望,0.0031459940591632707,92.09%,7.91%
装作,0.0007260739697259044,91.84%,8.16%
算不算,0.0002748439846651518,91.89%,8.11%
逼疯,0.000356947667392693,95.00%,5.00%
完蛋,0.00019790041146261483,92.31%,7.69%
濒临,7.146853677597598e-05,85.71%,14.29%
约束,9.893656110326887e-05,92.31%,7.69%
来救,0.0003096258498552773,87.27%,12.73%
受挫,2.1267064365559918e-05,72.73%,27.27%
诊所,8.7938745200411e-05,91.67%,8.33%
碰见,9.893656110326887e-05,92.31%,7.69%
讨喜,8.7938745200411e-05,91.67%,8.33%
烦,0.00842876243702917,82.67%,17.33%
抖,0.003237348328275047,89.19%,10.81%
呕吐,0.000397824900813748,93.75%,6.25%
诉说,0.0007042116964550704,92.39%,7.61%
背叛,0.0002748439846651518,91.89%,8.11%
盼头,0.0002748439846651518,91.89%,8.11%
说不出,0.0010277116677079867,93.60%,6.40%
封闭,0.0004965637607537987,93.44%,6.56%
缓解,0.0016307114414587653,92.45%,7.55%
入睡,0.000951617587812037,88.89%,11.11%
熬过去,0.00025296960492682263,91.43%,8.57%
厌烦,0.0002421038591648994,91.18%,8.82%
失恋,0.00025296960492682263,91.43%,8.57%
死亡,0.0025256240425736154,91.99%,8.01%
调理,0.0002976544207239362,90.70%,9.30%
算了,0.001541125579377578,87.64%,12.36%
挣扎,0.001311395137408189,91.26%,8.74%
害,0.010648979552729698,86.56%,13.44%
看法,0.00048438467405187424,91.18%,8.82%
服用,0.000213271952317462,88.57%,11.43%
唾弃,8.7938745200411e-05,91.67%,8.33%
补考,5.588896077601824e-05,88.89%,11.11%
谈心,0.0001325640823636176,93.75%,6.25%
炸开,9.893656110326887e-05,92.31%,7.69%
明知,0.0005314665309977817,90.00%,10.00%
夸奖,6.638276517823005e-05,90.00%,10.00%
劝说,7.707829510827935e-05,90.91%,9.09%
缠,4.275429345701465e-05,62.34%,37.66%
击垮,8.7938745200411e-05,91.67%,8.33%
驻扎,9.893656110326887e-05,92.31%,7.69%
污蔑,8.7938745200411e-05,91.67%,8.33%
疯掉,0.0003079277293980276,96.77%,3.23%
累,0.013149218757241288,84.79%,15.21%
恨,0.0023996415964864237,84.63%,15.37%
聊聊,0.0019029598895591304,94.52%,5.48%
割,0.0012850358007825413,90.10%,9.90%
有用吗,0.0003409678888209866,91.49%,8.51%
挺累,0.00016499996132335326,91.30%,8.70%
谩骂,0.00016499996132335326,91.30%,8.70%
说话,0.007040320692294877,91.07%,8.93%
发火,0.0002029884905506707,88.24%,11.76%
绑架,0.0002765333247310986,93.94%,6.06%
吞噬,0.0002421038591648994,91.18%,8.82%
没人,0.0035441995629145184,88.38%,11.62%
伪装,0.0002588915769654587,88.37%,11.63%
减轻,0.00017386727409929303,81.82%,18.18%
指责,0.0006192416368802078,90.22%,9.78%
困扰,0.00034268706246110003,90.20%,9.80%
控制,0.005765199744083405,91.50%,8.50%
摆脱,0.0007922614418950369,91.67%,8.33%
听歌,0.000457825469175388,89.04%,10.96%
不在,0.0008417412769071708,71.98%,28.02%
流血,0.00022053042733294337,90.62%,9.38%
偏执,0.0001327799627189874,90.00%,10.00%
烂掉,7.707829510827935e-05,90.91%,9.09%
臆想,7.707829510827935e-05,90.91%,9.09%
给开,0.00011005057599799972,92.86%,7.14%
求死,0.00011005057599799972,92.86%,7.14%
近视,3.4763046226071737e-05,80.00%,20.00%
耗费,5.2503851310059524e-05,83.33%,16.67%
嫁给,7.707829510827935e-05,90.91%,9.09%
记不得,4.345023867602382e-05,81.82%,18.18%
昏迷,7.707829510827935e-05,90.91%,9.09%
伤到,0.00010147518504255437,88.24%,11.76%
共存,7.707829510827935e-05,90.91%,9.09%
加深,6.185952440318498e-05,84.62%,15.38%
不关,0.0003298280896060213,87.72%,12.28%
出息,0.00022053042733294337,90.62%,9.38%
吵闹,8.807236194219303e-05,84.21%,15.79%
划破,6.638276517823005e-05,90.00%,10.00%
躁,0.0032115404723800367,87.19%,12.81%
脱发,7.707829510827935e-05,90.91%,9.09%
检查,0.001868046256044975,88.18%,11.82%
阻止,0.00024396121343750465,86.67%,13.33%
留恋,0.0004412134223810149,90.62%,9.38%
做梦,0.0008857895893624734,86.59%,13.41%
陷入,0.0009839777475730838,90.34%,9.66%
发烧,0.00046498262547189917,90.00%,10.00%
道歉,0.00038097557862692977,86.96%,13.04%
工资,0.0004669632735669893,87.65%,12.35%
呵呵,0.0006085922827744339,90.11%,9.89%
离职,0.00024450762634975476,89.47%,10.53%
辞,0.0007512483503020473,82.68%,17.32%
否认,0.00017590004265877202,91.67%,8.33%
憋,0.0013162695259937296,93.71%,6.29%
抓狂,0.0003109231629017106,89.58%,10.42%
记不住,0.00032146965448076603,89.80%,10.20%
治疗,0.0035261011628671124,94.19%,5.81%
理解,0.005054149166574762,89.24%,10.76%
生活费,0.0001677000341475665,88.89%,11.11%
报应,0.000213271952317462,88.57%,11.43%
绷,0.0005138028040587717,89.02%,10.98%
没病,0.00027955533482537653,88.89%,11.11%
睡眠,0.001536433335164622,88.28%,11.72%
梦见,0.00040185969276762545,89.06%,10.94%
想像,0.00032146965448076603,89.80%,10.20%
帮不了,0.0001327799627189874,90.00%,10.00%
却说,0.0001327799627189874,90.00%,10.00%
下头,5.214761347538399e-05,80.00%,20.00%
报考,4.345023867602382e-05,81.82%,18.18%
失调,6.638276517823005e-05,90.00%,10.00%
打湿,5.588896077601824e-05,88.89%,11.11%
低着头,6.638276517823005e-05,90.00%,10.00%
归结,7.146853677597598e-05,85.71%,14.29%
怜悯,7.707829510827935e-05,90.91%,9.09%
哭闹,6.638276517823005e-05,90.00%,10.00%
吵到,6.185952440318498e-05,84.62%,15.38%
吞没,6.638276517823005e-05,90.00%,10.00%
想写,0.0001826391699769614,87.50%,12.50%
伸出手,6.638276517823005e-05,90.00%,10.00%
消沉,5.588896077601824e-05,88.89%,11.11%
鄙视,6.638276517823005e-05,90.00%,10.00%
说错,0.00010721126215484933,85.71%,14.29%
加到,0.00010147518504255437,88.24%,11.76%
杀掉,6.638276517823005e-05,90.00%,10.00%
认命,6.638276517823005e-05,90.00%,10.00%
指挥,2.1267064365559918e-05,27.27%,72.73%
发牢骚,5.588896077601824e-05,88.89%,11.11%
试过,0.00028122366372829166,83.87%,16.13%
挨打,5.588896077601824e-05,88.89%,11.11%
自毁,5.588896077601824e-05,88.89%,11.11%
心跳,0.0008294867151492635,90.24%,9.76%
责怪,0.0002029884905506707,88.24%,11.76%
打字,0.0002995959007775495,87.04%,12.96%
掐,0.0004122993276087783,89.23%,10.77%
借钱,0.00012373731682024935,84.62%,15.38%
做不了,0.0004412134223810149,90.62%,9.38%
颤抖,0.000213271952317462,88.57%,11.43%
没想,6.156777716992412e-05,57.06%,42.94%
冒出,0.0001983305283390635,86.49%,13.51%
活过,0.00013295085878950452,72.22%,27.78%
犯,0.00154583804759989,84.13%,15.87%
丢脸,0.0001677000341475665,88.89%,11.11%
贬低,0.0001826391699769614,87.50%,12.50%
爆发,0.0003933562285354242,85.71%,14.29%
莫名,0.0029751785315672574,93.22%,6.78%
丢下,0.0001677000341475665,88.89%,11.11%
反应,0.001710795102599194,88.57%,11.43%
无望,0.00011178897091512763,88.89%,11.11%
开不,0.00020193884500108172,78.46%,21.54%
行不行,8.691152754392029e-05,81.82%,18.18%
助眠,0.00019790041146261483,92.31%,7.69%
坏掉,8.807236194219303e-05,84.21%,15.79%
吵起来,0.0001222284352211389,89.47%,10.53%
排解,0.00011178897091512763,88.89%,11.11%
超想,6.185952440318498e-05,84.62%,15.38%
淡忘,5.588896077601824e-05,88.89%,11.11%
挂掉,5.588896077601824e-05,88.89%,11.11%
某件事,4.564761366565584e-05,87.50%,12.50%
打掉,4.564761366565584e-05,87.50%,12.50%
倒流,3.775159002639139e-05,75.00%,25.00%
破败,5.588896077601824e-05,88.89%,11.11%
想能,0.00012126417633873121,93.33%,6.67%
没理,9.130334492601921e-05,87.50%,12.50%
扮演,8.7938745200411e-05,91.67%,8.33%
袭来,0.00015538158883587894,94.44%,5.56%
见见,6.076882128480676e-05,81.25%,18.75%
停滞,2.1267064365559918e-05,72.73%,27.27%
不怪,9.756202061284025e-05,85.00%,15.00%
经受,2.8312339519720453e-05,75.00%,25.00%
再不去,5.588896077601824e-05,88.89%,11.11%
决绝,5.588896077601824e-05,88.89%,11.11%
被删,7.146853677597598e-05,85.71%,14.29%
踏出,9.893656110326887e-05,92.31%,7.69%
捐献,5.588896077601824e-05,88.89%,11.11%
取关,7.707829510827935e-05,90.91%,9.09%
调动,4.564761366565584e-05,87.50%,12.50%
吓跑,5.588896077601824e-05,88.89%,11.11%
哽咽,5.588896077601824e-05,88.89%,11.11%
诱导,4.564761366565584e-05,87.50%,12.50%
赎罪,5.588896077601824e-05,88.89%,11.11%
回复,0.0009144973987031957,87.50%,12.50%
离开,0.005595971592857629,88.77%,11.23%
开玩笑,0.00045181464076593514,88.16%,11.84%
觉得,0.01916648404855259,86.78%,13.22%
谈话,0.0002029884905506707,88.24%,11.76%
发呆,0.0006017144500076732,86.09%,13.91%
不堪,0.00046967935498032354,81.67%,18.33%
妄想,0.0001826391699769614,87.50%,12.50%
撑下去,0.0001677000341475665,88.89%,11.11%
只能靠,0.00015736234662522275,88.46%,11.54%
吐,0.002159600704304432,80.37%,19.63%
丢人,0.0002656176765482021,90.00%,10.00%
超话,0.0029578724187766525,88.00%,12.00%
嘲笑,0.0005839558812705814,87.38%,12.62%
过错,0.00011178897091512763,88.89%,11.11%
看不起,0.00026393479115249807,87.23%,12.77%
结婚,0.0010925578779542588,87.77%,12.23%
怕,0.014777548980533184,86.13%,13.87%
考上,0.0004844839777510268,86.02%,13.98%
说出,0.0018983123756336484,91.04%,8.96%
肚子疼,0.0001626135074141999,86.67%,13.33%
想法,0.0026760640680222325,87.66%,12.34%
没法,0.0007825835002341908,87.14%,12.86%
摔,0.0004781202678728613,76.70%,23.30%
倾向,0.0004067386069876999,86.67%,13.33%
刺激,0.0006553302511169701,87.18%,12.82%
扭曲,0.0001626135074141999,86.67%,13.33%
刺痛,0.0001471154308256839,88.00%,12.00%
枯萎,9.130334492601921e-05,87.50%,12.50%
自测,0.00011178897091512763,88.89%,11.11%
可恨,8.129310805571333e-05,86.67%,13.33%
暗恋,9.130334492601921e-05,87.50%,12.50%
深知,8.129310805571333e-05,86.67%,13.33%
眩晕,9.130334492601921e-05,87.50%,12.50%
蜷缩,9.130334492601921e-05,87.50%,12.50%
更累,9.130334492601921e-05,87.50%,12.50%
想变,0.00023808430864968866,84.31%,15.69%
痛死,8.7938745200411e-05,91.67%,8.33%
自控,2.1267064365559918e-05,72.73%,27.27%
欠债,4.564761366565584e-05,87.50%,12.50%
可逆,5.588896077601824e-05,88.89%,11.11%
自述,3.573144988444632e-05,85.71%,14.29%
哭出,0.001049932573961243,97.96%,2.04%
叫作,3.0640189376818228e-06,66.67%,33.33%
累人,2.8312339519720453e-05,75.00%,25.00%
吵得,2.6529811098408018e-05,77.78%,22.22%
还手,3.573144988444632e-05,85.71%,14.29%
递,7.354806137727099e-05,39.90%,60.10%
抽离,4.564761366565584e-05,87.50%,12.50%
睡死,6.185952440318498e-05,84.62%,15.38%
实话,0.0004112278340090425,83.16%,16.84%
止,0.000253451109784697,60.41%,39.59%
打不起,4.564761366565584e-05,87.50%,12.50%
更改,2.6529811098408018e-05,77.78%,22.22%
撕开,4.564761366565584e-05,87.50%,12.50%
登记,5.588896077601824e-05,88.89%,11.11%
交集,5.2503851310059524e-05,83.33%,16.67%
谴责,5.588896077601824e-05,88.89%,11.11%
抑,0.04825376144337856,99.13%,0.87%
缩小,3.573144988444632e-05,85.71%,14.29%
跪下,4.564761366565584e-05,87.50%,12.50%
慌,0.001526756501503801,80.42%,19.58%
想,0.057000783131396004,77.49%,22.51%
抛弃,0.0005007538053777294,85.71%,14.29%
指望,0.00023406584530916152,86.36%,13.64%
测试,0.00040310818645439284,85.90%,14.10%
发疯,0.000848494402317157,87.33%,12.67%
堕落,0.00027955533482537653,88.89%,11.11%
睡到,0.00010104888684314695,68.83%,31.17%
维持,0.0004552309486636208,85.56%,14.44%
逼迫,0.0001626135074141999,86.67%,13.33%
脱离,0.000253473101755497,83.05%,16.95%
使劲,0.00021447328402546262,85.71%,14.29%
威胁,0.00025391847862665795,86.96%,13.04%
投诉,6.185952440318498e-05,84.62%,15.38%
诉苦,0.00012692663784930058,86.96%,13.04%
失控,0.00037711569500098463,86.11%,13.89%
说服,0.00022423543659688683,86.05%,13.95%
依赖,0.000588950749414896,88.00%,12.00%
咋办,0.00021447328402546262,85.71%,14.29%
操心,0.0001626135074141999,86.67%,13.33%
处在,2.451846542339542e-05,66.67%,33.33%
垮,0.0003415332056818654,83.33%,16.67%
摧毁,7.146853677597598e-05,85.71%,14.29%
打完,2.090713046587478e-05,64.29%,35.71%
撕裂,7.146853677597598e-05,85.71%,14.29%
知晓,5.2503851310059524e-05,83.33%,16.67%
摁,8.129310805571333e-05,86.67%,13.33%
救救,0.0007389242189126399,85.23%,14.77%
归宿,0.00018848155219153284,86.11%,13.89%
疯,0.002705166860294095,78.72%,21.28%
波动,0.0002486415168064804,88.10%,11.90%
挫败,9.756202061284025e-05,85.00%,15.00%
出轨,8.807236194219303e-05,84.21%,15.79%
掩饰,0.00010502213606511379,83.33%,16.67%
查出,0.0005418798661910307,93.85%,6.15%
毁,0.0008005528814483132,81.34%,18.66%
硬撑,0.00019790041146261483,92.31%,7.69%
下意识,0.00015273667194870555,86.21%,13.79%
忍住,0.00040716884862068703,84.71%,15.29%
负,0.0007325813562200079,63.70%,36.30%
聊,0.003797976752335508,79.33%,20.67%
忍受,0.00031900300128873127,84.85%,15.15%
闷,0.0009388614801475459,78.84%,21.16%
好像,0.008713264333342519,84.17%,15.83%
没能,0.000508097994216139,86.96%,13.04%
难看,0.00019516825691956452,85.00%,15.00%
累到,0.0001626135074141999,86.67%,13.33%
睡意,0.00010721126215484933,85.71%,14.29%
忽视,0.00012213184867704285,82.76%,17.24%
暴露,0.00012692663784930058,86.96%,13.04%
懂吗,8.129310805571333e-05,86.67%,13.33%
困意,0.00011178897091512763,88.89%,11.11%
应激,0.0001222284352211389,89.47%,10.53%
逃脱,7.146853677597598e-05,85.71%,14.29%
出声,0.0004965637607537987,93.44%,6.56%
掩盖,9.130334492601921e-05,87.50%,12.50%
退让,7.146853677597598e-05,85.71%,14.29%
起來,2.8312339519720453e-05,75.00%,25.00%
支出,3.573144988444632e-05,85.71%,14.29%
纵身,3.573144988444632e-05,85.71%,14.29%
手续,5.2503851310059524e-05,83.33%,16.67%
拉住,7.707829510827935e-05,90.91%,9.09%
哀伤,2.62501218804001e-05,83.33%,16.67%
磕头,1.7380508527953253e-05,80.00%,20.00%
猜想,3.573144988444632e-05,85.71%,14.29%
灭亡,3.573144988444632e-05,85.71%,14.29%
拦住,3.573144988444632e-05,85.71%,14.29%
调控,3.573144988444632e-05,85.71%,14.29%
绷着,5.588896077601824e-05,88.89%,11.11%
摆布,4.345023867602382e-05,81.82%,18.18%
裸辞,3.573144988444632e-05,85.71%,14.29%
萌生,3.573144988444632e-05,85.71%,14.29%
管不住,3.573144988444632e-05,85.71%,14.29%
未遂,0.0001784372880713203,95.00%,5.00%
作祟,3.573144988444632e-05,85.71%,14.29%
愣住,3.573144988444632e-05,85.71%,14.29%
磨破,1.7380508527953253e-05,80.00%,20.00%
毕,0.00013524399201636506,57.56%,42.44%
转不动,1.8873991103229848e-05,75.00%,25.00%
付钱,2.62501218804001e-05,83.33%,16.67%
生锈,3.573144988444632e-05,85.71%,14.29%
损害,9.192733178009505e-06,66.67%,33.33%
褪,0.00014769400919922848,81.58%,18.42%
压到,3.573144988444632e-05,85.71%,14.29%
留疤,0.00016688292196886945,94.74%,5.26%
