word,information_gain,percentage_suicide,percentage_non_suicide
比较严重,0.00012126417633873121,93.33%,6.67%
病症,9.130334492601921e-05,87.50%,12.50%
跳河,0.00011005057599799972,92.86%,7.14%
字眼,0.00011178897091512763,88.89%,11.11%
心脏,0.0021460835818634116,95.00%,5.00%
神经病,0.000693201779812469,91.58%,8.42%
流眼泪,0.00047402893066950114,93.22%,6.78%
心理疾病,0.0003801602400158588,95.24%,4.76%
潜意识,0.0002748439846651518,91.89%,8.11%
心理,0.007834476178237071,93.56%,6.44%
心脏病,8.7938745200411e-05,91.67%,8.33%
好气,0.00010147518504255437,88.24%,11.76%
天亮,0.0005291484332655694,90.79%,9.21%
伤人,0.00022831926864275154,87.50%,12.50%
大脑,0.0008330076314925217,85.80%,14.20%
上帝,0.0010021143934626497,91.37%,8.63%
哑巴,0.00011005057599799972,92.86%,7.14%
儿童节,5.2503851310059524e-05,83.33%,16.67%
梦魇,9.893656110326887e-05,92.31%,7.69%
数落,8.7938745200411e-05,91.67%,8.33%
玉玉,9.893656110326887e-05,92.31%,7.69%
白痴,8.7938745200411e-05,91.67%,8.33%
单曲,7.707829510827935e-05,90.91%,9.09%
深渊,0.0009388368826027671,90.51%,9.49%
妈,0.00825840618179341,75.00%,25.00%
住院治疗,0.00015417485686042287,90.91%,9.09%
情绪,0.014650478347215334,91.67%,8.33%
爸爸妈妈,0.0010108775874607678,89.68%,10.32%
关心,0.002033445986384219,90.75%,9.25%
浑身,0.0010467761481897098,91.16%,8.84%
父母,0.007532645671674887,92.62%,7.38%
心电图,0.00015417485686042287,90.91%,9.09%
心里话,0.00032231193689680193,94.59%,5.41%
本能,0.00012373731682024935,84.62%,15.38%
华西,7.707829510827935e-05,90.91%,9.09%
教授,5.2503851310059524e-05,83.33%,16.67%
上海市,8.7938745200411e-05,91.67%,8.33%
医师,0.0001900393994349603,95.24%,4.76%
专升本,8.7938745200411e-05,91.67%,8.33%
白眼狼,8.7938745200411e-05,91.67%,8.33%
极差,7.707829510827935e-05,90.91%,9.09%
傻瓜,8.7938745200411e-05,91.67%,8.33%
大学毕业,4.38280447175865e-05,78.57%,21.43%
院区,7.146853677597598e-05,85.71%,14.29%
病史,9.893656110326887e-05,92.31%,7.69%
药品,7.707829510827935e-05,90.91%,9.09%
兴趣,0.001053765633571957,81.39%,18.61%
小号,0.0002976544207239362,90.70%,9.30%
歇斯底里,0.00025296960492682263,91.43%,8.57%
科,4.308818211229415e-05,54.47%,45.53%
聊天,0.004334557866613187,92.25%,7.75%
聊天记录,0.00020982971762484315,90.32%,9.68%
陌生人,0.001101212092267323,91.45%,8.55%
伤心,0.0017341828134478376,90.76%,9.24%
学业,0.0004862644023412299,90.28%,9.72%
办法,0.004724696116737981,90.42%,9.58%
双向,0.0006728013026091606,90.72%,9.28%
语气,0.00042923550136797495,92.73%,7.27%
玻璃心,0.00023128969279495593,90.91%,9.09%
负罪感,0.00023128969279495593,90.91%,9.09%
大道理,0.00014343204286548783,90.48%,9.52%
受害者,0.0001327799627189874,90.00%,10.00%
烂泥,0.00016688292196886945,94.74%,5.26%
耻辱,5.2503851310059524e-05,83.33%,16.67%
心寒,8.7938745200411e-05,91.67%,8.33%
顶嘴,5.588896077601824e-05,88.89%,11.11%
学分,1.004055991460362e-06,55.56%,44.44%
鼻涕,0.00011700404493264482,86.36%,13.64%
葬礼,4.564761366565584e-05,87.50%,12.50%
进厂,4.564761366565584e-05,87.50%,12.50%
表达能力,5.2503851310059524e-05,83.33%,16.67%
迟早会,7.707829510827935e-05,90.91%,9.09%
文凭,6.638276517823005e-05,90.00%,10.00%
身躯,7.707829510827935e-05,90.91%,9.09%
丙,7.06787806047382e-05,73.53%,26.47%
旁观,0.00013128669301532003,83.33%,16.67%
疗程,5.588896077601824e-05,88.89%,11.11%
耳洞,3.573144988444632e-05,85.71%,14.29%
父亲,0.0006052651997068281,85.25%,14.75%
负面,0.001158095860670616,90.91%,9.09%
脑子,0.0035354020989710744,90.11%,9.89%
胶囊,0.0002976544207239362,90.70%,9.30%
四肢,0.0002340352260672418,89.19%,10.81%
坏话,0.00020825591834672252,86.84%,13.16%
外人,0.00038569308204772224,87.88%,12.12%
幻觉,0.0003985131848410761,90.00%,10.00%
主持人,7.03486224494787e-05,78.26%,21.74%
微博,0.1272390085687649,5.03%,94.97%
生物钟,2.8312339519720453e-05,75.00%,25.00%
鲁,0.00020175689605050895,24.05%,75.95%
脑电波,6.638276517823005e-05,90.00%,10.00%
负债,5.588896077601824e-05,88.89%,11.11%
死水,0.0001325640823636176,93.75%,6.25%
专科,0.000272276528269777,96.43%,3.57%
病床,5.588896077601824e-05,88.89%,11.11%
存款,5.588896077601824e-05,88.89%,11.11%
任何事物,6.638276517823005e-05,90.00%,10.00%
东想,6.638276517823005e-05,90.00%,10.00%
我妹,0.00025384923830307216,93.55%,6.45%
死神,6.638276517823005e-05,90.00%,10.00%
纸条,6.300066292319606e-06,61.54%,38.46%
牢骚,0.00011178897091512763,88.89%,11.11%
防线,6.638276517823005e-05,90.00%,10.00%
区分,2.3957958790843392e-05,71.43%,28.57%
脚趾,9.436544641805433e-06,75.00%,25.00%
娘家,6.076882128480676e-05,81.25%,18.75%
情緒,5.588896077601824e-05,88.89%,11.11%
活人,2.8312339519720453e-05,75.00%,25.00%
后妈,9.756202061284025e-05,85.00%,15.00%
起码,0.00044675260029181096,87.34%,12.66%
玩游戏,0.00017465206896893903,82.93%,17.07%
学费,0.0001332902326321994,85.19%,14.81%
错,0.0003197757566766324,57.12%,42.88%
同情,0.0002896159256677855,86.79%,13.21%
交,0.0016600310931852436,68.97%,31.03%
器官,0.00011700404493264482,86.36%,13.64%
开朗,0.00037760322476654284,78.51%,21.49%
笑话,0.0005527450294430247,90.24%,9.76%
变态,0.00016903185801397935,85.29%,14.71%
报警,0.00018862053694235215,89.66%,10.34%
消失,0.0014401977426214962,88.56%,11.44%
交朋友,0.00035635222121133125,89.29%,10.71%
患病,0.0001991915980366077,90.00%,10.00%
刀子,0.00017812150136820026,89.29%,10.71%
寒假,0.00010721126215484933,85.71%,14.29%
零花钱,8.129310805571333e-05,86.67%,13.33%
嗓子眼,3.573144988444632e-05,85.71%,14.29%
心理准备,4.564761366565584e-05,87.50%,12.50%
直觉,0.0003251354288141828,88.68%,11.32%
黑名单,1.7380508527953253e-05,80.00%,20.00%
男同学,5.588896077601824e-05,88.89%,11.11%
常人,0.002446067136215646,97.83%,2.17%
八月份,5.588896077601824e-05,88.89%,11.11%
阴晴不定,5.588896077601824e-05,88.89%,11.11%
预兆,5.588896077601824e-05,88.89%,11.11%
张口,6.638276517823005e-05,90.00%,10.00%
小乖,1.9523448715363934e-05,34.78%,65.22%
肠胃炎,4.564761366565584e-05,87.50%,12.50%
念想,6.237889935489793e-05,77.27%,22.73%
父爱,4.564761366565584e-05,87.50%,12.50%
舅妈,3.573144988444632e-05,85.71%,14.29%
肋骨,5.588896077601824e-05,88.89%,11.11%
钻牛角尖,5.588896077601824e-05,88.89%,11.11%
别理,8.7938745200411e-05,91.67%,8.33%
美工刀,4.564761366565584e-05,87.50%,12.50%
店长,2.62501218804001e-05,83.33%,16.67%
悲观主义,5.588896077601824e-05,88.89%,11.11%
彩礼,3.573144988444632e-05,85.71%,14.29%
外婆家,4.564761366565584e-05,87.50%,12.50%
康宁,5.588896077601824e-05,88.89%,11.11%
注意力,0.0007586950618568844,89.17%,10.83%
内向,0.0002896159256677855,86.79%,13.21%
上学,0.002453336340562995,85.42%,14.58%
大夫,0.00018848155219153284,86.11%,13.89%
帮帮我,0.00022719481372523997,83.02%,16.98%
胳膊,0.0007363924528251964,88.00%,12.00%
无法控制,0.00018862053694235215,89.66%,10.34%
生子,0.00016903185801397935,85.29%,14.71%
发消息,0.00034268706246110003,90.20%,9.80%
神经,0.001536782109392787,89.50%,10.50%
饭,0.0008463305608181759,57.72%,42.28%
冷漠,0.0006702414945295443,87.83%,12.17%
现实生活,0.0002029884905506707,88.24%,11.76%
罪恶,0.00019277600966360886,87.88%,12.12%
旁观者,8.129310805571333e-05,86.67%,13.33%
眼眶,0.0001222284352211389,89.47%,10.53%
写日记,0.00010147518504255437,88.24%,11.76%
机器人,2.6849062691125525e-05,68.18%,31.82%
山东省,6.965099224653937e-05,82.35%,17.65%
狗屁,0.00010147518504255437,88.24%,11.76%
深海,0.00018382664012361882,83.33%,16.67%
普通人,0.0003502085308937364,88.14%,11.86%
护士,0.00019103733270342538,80.77%,19.23%
抗争,0.00013696719621747455,87.50%,12.50%
回老家,0.0001471154308256839,88.00%,12.00%
酸痛,0.00013696719621747455,87.50%,12.50%
夜班,4.38280447175865e-05,78.57%,21.43%
言论,7.146853677597598e-05,85.71%,14.29%
肾,1.714028668819978e-05,61.76%,38.24%
英语老师,4.564761366565584e-05,87.50%,12.50%
人想,8.687467545276384e-05,66.29%,33.71%
楼层,3.573144988444632e-05,85.71%,14.29%
誓言,2.62501218804001e-05,83.33%,16.67%
人生观,9.436544641805433e-06,75.00%,25.00%
害人,6.953421065580834e-05,80.00%,20.00%
羁绊,4.564761366565584e-05,87.50%,12.50%
矫正,2.62501218804001e-05,83.33%,16.67%
前,0.002402168008349914,61.55%,38.45%
改变现状,3.573144988444632e-05,85.71%,14.29%
旗号,4.564761366565584e-05,87.50%,12.50%
人际,0.0006095800067256185,87.16%,12.84%
表,0.00020979384931552048,56.84%,43.16%
封信,4.345023867602382e-05,81.82%,18.18%
后脑勺,4.564761366565584e-05,87.50%,12.50%
我弟,0.00041513951204485977,95.56%,4.44%
坏处,4.564761366565584e-05,87.50%,12.50%
攻击性,3.573144988444632e-05,85.71%,14.29%
起因,2.6529811098408018e-05,77.78%,22.22%
莫大,4.564761366565584e-05,87.50%,12.50%
退烧药,3.573144988444632e-05,85.71%,14.29%
垃圾堆,3.573144988444632e-05,85.71%,14.29%
夜路,4.564761366565584e-05,87.50%,12.50%
知己,5.588896077601824e-05,88.89%,11.11%
暴力,0.0008057767502751556,90.60%,9.40%
脑海,0.00036664003151987146,82.76%,17.24%
青少年,7.812158337083819e-05,80.95%,19.05%
空空,0.0001223729822988906,78.95%,21.05%
我会,0.003986262959007836,87.55%,12.45%
全身,0.0007776612914182079,85.62%,14.38%
带我去,0.0006085922827744339,90.11%,9.89%
所有人,0.0022472456858333434,87.22%,12.78%
飯,4.518526393992861e-05,72.00%,28.00%
控制情绪,0.0001429596275016598,85.71%,14.29%
处方,0.0001222284352211389,89.47%,10.53%
打人,0.00012126417633873121,93.33%,6.67%
坦白,0.00011178897091512763,88.89%,11.11%
眼皮,5.66327978520631e-05,75.00%,25.00%
解决问题,0.00013128669301532003,83.33%,16.67%
异地,0.00016903185801397935,85.29%,14.71%
语音,0.00019277600966360886,87.88%,12.12%
肉体,0.0001983305283390635,86.49%,13.51%
肺,0.00019421507492056733,72.55%,27.45%
黑洞,0.00011700404493264482,86.36%,13.64%
患上,0.00010431349633521769,80.00%,20.00%
无趣,0.00031900300128873127,84.85%,15.15%
刀片,0.00014994961164715992,84.38%,15.62%
强迫症,0.00013932927784421345,82.35%,17.65%
感觉,0.01734430248786556,82.92%,17.08%
话语,0.0001303838711640415,81.82%,18.18%
主观,1.947787483358443e-05,63.33%,36.67%
更糟,0.00023128969279495593,90.91%,9.09%
解决办法,7.146853677597598e-05,85.71%,14.29%
任由,7.146853677597598e-05,85.71%,14.29%
医科大学,2.9684490471360014e-05,70.00%,30.00%
心力,7.812158337083819e-05,80.95%,19.05%
智障,6.185952440318498e-05,84.62%,15.38%
前任,5.214761347538399e-05,80.00%,20.00%
右耳,9.130334492601921e-05,87.50%,12.50%
汀,0.00042968058699122125,83.51%,16.49%
睡梦中,6.185952440318498e-05,84.62%,15.38%
怪人,7.707829510827935e-05,90.91%,9.09%
分界线,9.436544641805433e-06,75.00%,25.00%
单向,1.8873991103229848e-05,75.00%,25.00%
舆论,3.573144988444632e-05,85.71%,14.29%
半死,0.000201684724976392,95.45%,4.55%
学医,9.115003144599676e-06,37.50%,62.50%
诱因,3.573144988444632e-05,85.71%,14.29%
干点,1.7797926685991783e-05,69.23%,30.77%
职位,3.573144988444632e-05,85.71%,14.29%
要死要活,3.573144988444632e-05,85.71%,14.29%
决堤,3.573144988444632e-05,85.71%,14.29%
亲身经历,3.573144988444632e-05,85.71%,14.29%
囚笼,3.573144988444632e-05,85.71%,14.29%
正大光明,1.8157005642338575e-06,60.00%,40.00%
维系,3.573144988444632e-05,85.71%,14.29%
管教,1.8873991103229848e-05,75.00%,25.00%
小伙子,0.0,50.00%,50.00%
解体,6.638276517823005e-05,90.00%,10.00%
意念,3.573144988444632e-05,85.71%,14.29%
两节课,3.573144988444632e-05,85.71%,14.29%
张罗,2.62501218804001e-05,83.33%,16.67%
校门口,1.7797926685991783e-05,69.23%,30.77%
专业人士,9.436544641805433e-06,75.00%,25.00%
表哥,6.12826332180294e-06,66.67%,33.33%
阿美,3.573144988444632e-05,85.71%,14.29%
受伤害,6.638276517823005e-05,90.00%,10.00%
得罪人,2.62501218804001e-05,83.33%,16.67%
寄希望于,3.573144988444632e-05,85.71%,14.29%
口音,1.7380508527953253e-05,80.00%,20.00%
产妇,0.0,50.00%,50.00%
医药费,4.564761366565584e-05,87.50%,12.50%
连话都,3.573144988444632e-05,85.71%,14.29%
寝室,0.0002456342912500187,83.64%,16.36%
室友,0.000426611098999774,82.08%,17.92%
状况,0.00035756178462509336,82.56%,17.44%
给我发,0.000253473101755497,83.05%,16.95%
持续性,8.807236194219303e-05,84.21%,15.79%
贵,0.0005678371297851426,33.15%,66.85%
家人,0.0014624411464376763,69.93%,30.07%
坏人,0.00021447328402546262,85.71%,14.29%
议论,0.00022134449465094352,84.78%,15.22%
手臂,0.0003168549176069124,84.06%,15.94%
电话,0.0027439106103354094,88.47%,11.53%
记性,0.00023808430864968866,84.31%,15.69%
离家,0.00019117921181011077,81.63%,18.37%
受委屈,7.146853677597598e-05,85.71%,14.29%
假象,8.7938745200411e-05,91.67%,8.33%
声响,5.214761347538399e-05,80.00%,20.00%
校服,4.345023867602382e-05,81.82%,18.18%
有钱人,6.185952440318498e-05,84.62%,15.38%
班长,3.020137412157453e-06,58.33%,41.67%
牢笼,6.185952440318498e-05,84.62%,15.38%
交心,6.185952440318498e-05,84.62%,15.38%
屁事,6.185952440318498e-05,84.62%,15.38%
占有欲,6.185952440318498e-05,84.62%,15.38%
吃力,6.076882128480676e-05,81.25%,18.75%
肢体,6.185952440318498e-05,84.62%,15.38%
沼泽,6.185952440318498e-05,84.62%,15.38%
畸形,6.185952440318498e-05,84.62%,15.38%
开学,0.0006139129219336903,83.45%,16.55%
婚姻,0.0002599969069536634,86.00%,14.00%
小学,0.0002499076066396766,73.73%,26.27%
笑,0.00031784059935668907,55.94%,44.06%
癌症,0.00024396121343750465,86.67%,13.33%
前段时间,0.0003060422542356944,83.10%,16.90%
情况,0.0020425532598886686,82.68%,17.32%
毛病,0.00036783028910658544,83.33%,16.67%
无语,0.0006522935509514216,81.29%,18.71%
肩膀,0.00017618284720999355,84.21%,15.79%
男性,4.524473192701883e-05,76.47%,23.53%
情商,7.876118910099539e-05,83.33%,16.67%
走神,6.117284345008578e-05,78.95%,21.05%
地步,0.00015649765886283085,80.00%,20.00%
花钱,0.0005008881065070581,83.78%,16.22%
画画,2.720382613730088e-06,53.01%,46.99%
精神,0.004665414093349196,85.11%,14.89%
活,0.007629058299513991,66.26%,33.74%
社恐,0.0003654173115961168,80.00%,20.00%
安全感,0.000753044327178487,84.71%,15.29%
脸色,0.0002024298423528581,84.09%,15.91%
至极,8.692283814915047e-05,80.00%,20.00%
亲生,0.00010431349633521769,80.00%,20.00%
散散心,6.965099224653937e-05,82.35%,17.65%
过段时间,5.2503851310059524e-05,83.33%,16.67%
血管,6.953421065580834e-05,80.00%,20.00%
考完试,5.2503851310059524e-05,83.33%,16.67%
用处,0.0001222284352211389,89.47%,10.53%
期限,4.345023867602382e-05,81.82%,18.18%
流鼻涕,4.345023867602382e-05,81.82%,18.18%
家境,5.2503851310059524e-05,83.33%,16.67%
走,0.002346799012662548,62.63%,37.37%
脏水,4.345023867602382e-05,81.82%,18.18%
懦夫,5.2503851310059524e-05,83.33%,16.67%
错话,5.2503851310059524e-05,83.33%,16.67%
选择性,5.2503851310059524e-05,83.33%,16.67%
肺炎,4.345023867602382e-05,81.82%,18.18%
小团体,5.2503851310059524e-05,83.33%,16.67%
威风,6.12826332180294e-06,66.67%,33.33%
墓碑,1.7380508527953253e-05,80.00%,20.00%
闪光点,2.62501218804001e-05,83.33%,16.67%
蠢事,9.436544641805433e-06,75.00%,25.00%
早班,2.62501218804001e-05,83.33%,16.67%
平躺,4.564761366565584e-05,87.50%,12.50%
鸡血,2.62501218804001e-05,83.33%,16.67%
嗅觉,9.436544641805433e-06,75.00%,25.00%
恶性,0.0002029884905506707,88.24%,11.76%
烙印,2.62501218804001e-05,83.33%,16.67%
小老鼠,2.62501218804001e-05,83.33%,16.67%
文笔,4.5570505946557205e-06,62.50%,37.50%
顾,0.00017726570572729194,60.22%,39.78%
布洛芬,2.62501218804001e-05,83.33%,16.67%
泪点,2.62501218804001e-05,83.33%,16.67%
化验,2.62501218804001e-05,83.33%,16.67%
喜气,1.004055991460362e-06,55.56%,44.44%
住院费,2.62501218804001e-05,83.33%,16.67%
幻视,2.62501218804001e-05,83.33%,16.67%
任何理由,2.62501218804001e-05,83.33%,16.67%
长痘,9.192733178009505e-06,66.67%,33.33%
人管,0.00014994961164715992,84.38%,15.62%
医者,2.62501218804001e-05,83.33%,16.67%
虚度光阴,2.62501218804001e-05,83.33%,16.67%
痘印,4.5570505946557205e-06,62.50%,37.50%
畜生,2.62501218804001e-05,83.33%,16.67%
新手机,6.12826332180294e-06,66.67%,33.33%
口服液,2.62501218804001e-05,83.33%,16.67%
小毛病,6.12826332180294e-06,66.67%,33.33%
实质性,2.62501218804001e-05,83.33%,16.67%
侄女,4.5570505946557205e-06,62.50%,37.50%
大伯,1.7380508527953253e-05,80.00%,20.00%
体制,1.197796473406676e-05,71.43%,28.57%
液体,4.5570505946557205e-06,37.50%,62.50%
地瓜,4.5570505946557205e-06,62.50%,37.50%
海啸,1.7380508527953253e-05,80.00%,20.00%
骸骨,3.0640189376818228e-06,66.67%,33.33%
